p,seed,method,evaluation,code,selected,fits,validation_acc,validation_normalized_margin,validation_mean_margin,relative_residual,bank_predicted_z,bank_candidates_scored
17,2011,random_probe,10,80,False,11,0.3333333333333333,-0.06423280872400355,-5.67313577483237e-05,3.586933009204104e-14,,
17,2012,bank,0,29,True,0,,,,,1.6723335637396208,128
17,2012,greedy_probe,0,0,False,11,1.0,1.4691814131198437,0.0027790914519075665,3.90268214312239e-14,,
17,2012,greedy_probe,1,16,False,11,0.6666666666666666,0.0969050120007997,0.00018481180233153685,3.653462925212716e-14,,
17,2012,greedy_probe,2,64,False,11,1.0,1.3629587439610233,0.0023130197285129764,3.701892650759455e-14,,
17,2012,greedy_probe,3,32,False,11,1.0,1.5090401609035198,0.0027578878094818987,3.7405017228746163e-14,,
17,2012,greedy_probe,4,36,False,11,1.0,1.5137553381299942,0.002755667710766322,3.8798902595044885e-14,,
17,2012,greedy_probe,5,37,False,11,1.0,1.283275380219816,0.00240396797977261,3.447638823762707e-14,,
17,2012,greedy_probe,6,44,False,11,0.0,-0.248130814984345,-0.00043957262846610706,3.3692015693619686e-14,,
17,2012,greedy_probe,7,38,True,11,1.0,1.514501222843376,0.002757008690823392,3.55855720206736e-14,,
17,2012,greedy_probe,8,54,False,11,0.6666666666666666,0.15515255337725398,0.00027658325077357476,3.408449938321335e-14,,
17,2012,greedy_probe,9,102,False,11,1.0,1.2950258832424926,0.0021041412472895004,3.326299821523935e-14,,
17,2012,greedy_probe,10,6,False,11,1.0,1.4737227042875531,0.0027773547133258317,3.423190145015948e-14,,
17,2012,random_full,0,0,True,60,1.0,1.474199922028957,0.0027923179325671185,3.5803347716297036e-14,,
17,2012,random_full,1,30,False,60,1.0,1.1761890892664915,0.002098062415713362,3.6780954185607454e-14,,
17,2012,random_probe,0,0,True,11,1.0,1.4691814131198437,0.0027790914519075665,3.90268214312239e-14,,
17,2012,random_probe,1,30,False,11,1.0,1.1705399101642595,0.0020847554768782437,3.7837864257392255e-14,,
17,2012,random_probe,2,48,False,11,0.6666666666666666,0.09526274406668067,0.0001755185146538977,3.5722445909716e-14,,
17,2012,random_probe,3,82,False,11,0.3333333333333333,-0.07683641173910223,-0.00011991044738551605,3.6834483053378084e-14,,
17,2012,random_probe,4,63,False,11,1.0,1.3374139810886139,0.002238037041389619,3.6745206541709635e-14,,
17,2012,random_probe,5,44,False,11,0.0,-0.248130814984345,-0.00043957262846610706,3.3692015693619686e-14,,
17,2012,random_probe,6,119,False,11,0.0,-0.6330773124841583,-0.0010923350602141276,3.507472806190029e-14,,
17,2012,random_probe,7,17,False,11,0.16666666666666666,-0.22831596389743322,-0.00041146287486259803,3.840351071278056e-14,,
