name,p,view,step,sequences,eligible,unique,displaced
p17_s147_cross,17,point,25,17,17,17,0
p17_s147_cross,17,point,26,17,17,17,0
p17_s147_cross,17,point,27,17,17,17,0
p17_s147_cross,17,point,28,17,17,17,0
p17_s147_cross,17,point,29,17,17,17,0
p17_s147_cross,17,point,30,17,17,17,0
p17_s147_cross,17,point,31,17,17,17,0
p17_s147_cross,17,point,32,17,17,17,0
p17_s147_cross,17,point,33,17,17,17,0
p17_s147_cross,17,point,34,17,17,17,0
p17_s147_cross,17,point,35,17,17,17,0
p17_s147_cross,17,point,36,17,17,17,0
p17_s147_cross,17,point,37,17,17,17,0
p17_s147_cross,17,point,38,17,17,17,0
p17_s147_cross,17,point,39,17,17,17,0
p17_s147_cross,17,point,40,17,17,17,0
p17_s147_cross,17,point,41,17,17,17,0
p17_s147_cross,17,point,42,17,17,17,0
p17_s147_cross,17,point,43,17,17,17,0
p17_s147_cross,17,point,44,17,17,17,0
p17_s147_cross,17,point,45,17,17,17,0
p17_s147_cross,17,point,46,17,17,17,0
p17_s147_cross,17,point,47,17,17,17,0
p17_s147_cross,17,point,48,17,17,17,0
p17_s147_cross,17,point,49,17,17,17,0
p17_s147_cross,17,point,50,17,17,17,0
p17_s147_cross,17,point,51,17,17,17,0
p17_s147_cross,17,point,52,17,17,17,0
p17_s147_cross,17,point,53,17,17,17,0
p17_s147_cross,17,point,54,17,17,17,0
p17_s147_cross,17,point,55,17,17,17,0
p17_s147_cross,17,point,56,17,17,17,0
p17_s147_cross,17,point,57,17,17,17,0
p17_s147_cross,17,point,58,17,17,17,0
p17_s147_cross,17,point,59,17,17,17,0
p17_s147_cross,17,profile,0,1,1,1,1
p17_s147_cross,17,profile,1,1,1,1,1
p17_s147_cross,17,profile,2,1,1,1,1
p17_s147_cross,17,profile,3,1,1,1,1
p17_s147_cross,17,profile,4,1,1,1,1
p17_s147_cross,17,profile,5,1,1,1,1
p17_s147_cross,17,profile,6,1,1,1,0
p17_s147_cross,17,profile,7,1,1,1,0
p17_s147_cross,17,profile,8,1,1,1,0
p17_s147_cross,17,profile,9,1,1,1,0
p17_s147_cross,17,profile,10,1,1,1,0
p17_s147_cross,17,profile,11,1,1,1,0
p17_s147_cross,17,profile,12,1,1,1,0
p17_s147_cross,17,profile,13,1,1,1,0
p17_s147_cross,17,profile,14,1,1,1,0
p17_s147_cross,17,profile,15,1,1,1,0
p17_s147_cross,17,profile,16,1,1,1,0
p17_s147_cross,17,profile,17,1,1,1,0
p17_s147_cross,17,profile,18,1,1,1,0
p17_s147_cross,17,profile,19,1,1,1,0
p17_s147_cross,17,profile,20,1,1,1,0
p17_s147_cross,17,profile,21,1,1,1,0
p17_s147_cross,17,profile,22,1,1,1,0
p17_s147_cross,17,profile,23,1,1,1,0
p17_s147_cross,17,profile,24,1,1,1,0
p17_s147_cross,17,profile,25,1,1,1,0
p17_s147_cross,17,profile,26,1,1,1,0
p17_s147_cross,17,profile,27,1,1,1,0
p17_s147_cross,17,profile,28,1,1,1,0
p17_s147_cross,17,profile,29,1,1,1,0
p17_s147_cross,17,profile,30,1,1,1,0
p17_s147_cross,17,profile,31,1,1,1,0
p17_s147_cross,17,profile,32,1,1,1,0
p17_s147_cross,17,profile,33,1,1,1,0
p17_s147_cross,17,profile,34,1,1,1,0
p17_s147_cross,17,profile,35,1,1,1,0
p17_s147_cross,17,profile,36,1,1,1,0
p17_s147_cross,17,profile,37,1,1,1,0
p17_s147_cross,17,profile,38,1,1,1,0
p17_s147_cross,17,profile,39,1,1,1,0
p17_s147_cross,17,profile,40,1,1,1,0
p17_s147_cross,17,profile,41,1,1,1,0
p17_s147_cross,17,profile,42,1,1,1,0
p17_s147_cross,17,profile,43,1,1,1,0
p17_s147_cross,17,profile,44,1,1,1,0
p17_s147_cross,17,profile,45,1,1,1,0
p17_s147_cross,17,profile,46,1,1,1,0
p17_s147_cross,17,profile,47,1,1,1,0
p17_s147_cross,17,profile,48,1,1,1,0
p17_s147_cross,17,profile,49,1,1,1,0
p17_s147_cross,17,profile,50,1,1,1,0
p17_s147_cross,17,profile,51,1,1,1,0
p17_s147_cross,17,profile,52,1,1,1,0
p17_s147_cross,17,profile,53,1,1,1,0
p17_s147_cross,17,profile,54,1,1,1,0
p17_s147_cross,17,profile,55,1,1,1,0
p17_s147_cross,17,profile,56,1,1,1,0
p17_s147_cross,17,profile,57,1,1,1,0
p17_s147_cross,17,profile,58,1,1,1,0
p17_s147_cross,17,profile,59,1,1,1,0
p17_s148_cross,17,point,0,17,17,17,17
p17_s148_cross,17,point,1,17,17,17,17
p17_s148_cross,17,point,2,17,17,17,17
p17_s148_cross,17,point,3,17,17,17,17
p17_s148_cross,17,point,4,17,17,17,17
p17_s148_cross,17,point,5,17,17,17,17
p17_s148_cross,17,point,6,17,17,17,17
p17_s148_cross,17,point,7,17,17,17,17
p17_s148_cross,17,point,8,17,17,17,8
p17_s148_cross,17,point,9,17,17,17,0
p17_s148_cross,17,point,10,17,17,17,0
p17_s148_cross,17,point,11,17,17,17,0
p17_s148_cross,17,point,12,17,17,17,0
p17_s148_cross,17,point,13,17,17,17,0
p17_s148_cross,17,point,14,17,17,17,0
p17_s148_cross,17,point,15,17,17,17,0
p17_s148_cross,17,point,16,17,17,17,0
p17_s148_cross,17,point,17,17,17,17,0
p17_s148_cross,17,point,18,17,17,17,0
p17_s148_cross,17,point,19,17,17,17,0
p17_s148_cross,17,point,20,17,17,17,0
p17_s148_cross,17,point,21,17,17,17,0
p17_s148_cross,17,point,22,17,17,17,0
p17_s148_cross,17,point,23,17,17,17,0
p17_s148_cross,17,point,24,17,17,17,0
p17_s148_cross,17,point,25,17,17,17,0
p17_s148_cross,17,point,26,17,17,17,0
p17_s148_cross,17,point,27,17,17,17,0
p17_s148_cross,17,point,28,17,17,17,0
p17_s148_cross,17,point,29,17,17,17,0
p17_s148_cross,17,point,30,17,17,17,0
p17_s148_cross,17,point,31,17,17,17,0
p17_s148_cross,17,point,32,17,17,17,0
p17_s148_cross,17,point,33,17,17,17,0
p17_s148_cross,17,point,34,17,17,17,0
p17_s148_cross,17,point,35,17,17,17,0
p17_s148_cross,17,point,36,17,17,17,0
p17_s148_cross,17,point,37,17,17,17,0
p17_s148_cross,17,point,38,17,17,17,0
p17_s148_cross,17,point,39,17,17,17,0
p17_s148_cross,17,point,40,17,17,17,0
p17_s148_cross,17,point,41,17,17,17,0
p17_s148_cross,17,point,42,17,17,17,0
p17_s148_cross,17,point,43,17,17,17,0
p17_s148_cross,17,point,44,17,17,17,0
p17_s148_cross,17,point,45,17,17,17,0
p17_s148_cross,17,point,46,17,17,17,0
p17_s148_cross,17,point,47,17,17,17,0
p17_s148_cross,17,point,48,17,17,17,0
p17_s148_cross,17,point,49,17,17,17,0
p17_s148_cross,17,point,50,17,17,17,0
p17_s148_cross,17,point,51,17,17,17,0
p17_s148_cross,17,point,52,17,17,17,0
p17_s148_cross,17,point,53,17,17,17,0
p17_s148_cross,17,point,54,17,17,17,0
p17_s148_cross,17,point,55,17,17,17,0
p17_s148_cross,17,point,56,17,17,17,0
p17_s148_cross,17,point,57,17,17,17,0
p17_s148_cross,17,point,58,17,17,17,0
p17_s148_cross,17,point,59,17,17,17,0
p17_s148_cross,17,profile,0,1,1,1,1
p17_s148_cross,17,profile,1,1,1,1,1
p17_s148_cross,17,profile,2,1,1,1,1
p17_s148_cross,17,profile,3,1,1,1,1
p17_s148_cross,17,profile,4,1,1,1,1
p17_s148_cross,17,profile,5,1,1,1,1
p17_s148_cross,17,profile,6,1,1,1,1
p17_s148_cross,17,profile,7,1,1,1,1
p17_s148_cross,17,profile,8,1,1,1,0
p17_s148_cross,17,profile,9,1,1,1,0
p17_s148_cross,17,profile,10,1,1,1,0
p17_s148_cross,17,profile,11,1,1,1,0
p17_s148_cross,17,profile,12,1,1,1,0
p17_s148_cross,17,profile,13,1,1,1,0
p17_s148_cross,17,profile,14,1,1,1,0
p17_s148_cross,17,profile,15,1,1,1,0
p17_s148_cross,17,profile,16,1,1,1,0
p17_s148_cross,17,profile,17,1,1,1,0
p17_s148_cross,17,profile,18,1,1,1,0
p17_s148_cross,17,profile,19,1,1,1,0
p17_s148_cross,17,profile,20,1,1,1,0
p17_s148_cross,17,profile,21,1,1,1,0
p17_s148_cross,17,profile,22,1,1,1,0
p17_s148_cross,17,profile,23,1,1,1,0
p17_s148_cross,17,profile,24,1,1,1,0
p17_s148_cross,17,profile,25,1,1,1,0
p17_s148_cross,17,profile,26,1,1,1,0
p17_s148_cross,17,profile,27,1,1,1,0
p17_s148_cross,17,profile,28,1,1,1,0
p17_s148_cross,17,profile,29,1,1,1,0
p17_s148_cross,17,profile,30,1,1,1,0
p17_s148_cross,17,profile,31,1,1,1,0
p17_s148_cross,17,profile,32,1,1,1,0
p17_s148_cross,17,profile,33,1,1,1,0
p17_s148_cross,17,profile,34,1,1,1,0
p17_s148_cross,17,profile,35,1,1,1,0
p17_s148_cross,17,profile,36,1,1,1,0
p17_s148_cross,17,profile,37,1,1,1,0
p17_s148_cross,17,profile,38,1,1,1,0
p17_s148_cross,17,profile,39,1,1,1,0
p17_s148_cross,17,profile,40,1,1,1,0
p17_s148_cross,17,profile,41,1,1,1,0
p17_s148_cross,17,profile,42,1,1,1,0
p17_s148_cross,17,profile,43,1,1,1,0
p17_s148_cross,17,profile,44,1,1,1,0
p17_s148_cross,17,profile,45,1,1,1,0
p17_s148_cross,17,profile,46,1,1,1,0
p17_s148_cross,17,profile,47,1,1,1,0
p17_s148_cross,17,profile,48,1,1,1,0
p17_s148_cross,17,profile,49,1,1,1,0
p17_s148_cross,17,profile,50,1,1,1,0
p17_s148_cross,17,profile,51,1,1,1,0
p17_s148_cross,17,profile,52,1,1,1,0
p17_s148_cross,17,profile,53,1,1,1,0
p17_s148_cross,17,profile,54,1,1,1,0
p17_s148_cross,17,profile,55,1,1,1,0
p17_s148_cross,17,profile,56,1,1,1,0
p17_s148_cross,17,profile,57,1,1,1,0
p17_s148_cross,17,profile,58,1,1,1,0
p17_s148_cross,17,profile,59,1,1,1,0
p17_s149_cross,17,point,0,17,17,17,17
p17_s149_cross,17,point,1,17,17,17,17
p17_s149_cross,17,point,2,17,17,17,17
p17_s149_cross,17,point,3,17,17,17,17
p17_s149_cross,17,point,4,17,17,17,17
p17_s149_cross,17,point,5,17,17,17,17
p17_s149_cross,17,point,6,17,17,17,17
p17_s149_cross,17,point,7,17,17,17,17
p17_s149_cross,17,point,8,17,17,17,17
p17_s149_cross,17,point,9,17,17,17,0
p17_s149_cross,17,point,10,17,17,17,0
p17_s149_cross,17,point,11,17,17,17,0
