phase,name,p,seed,variant,view,test_a,truth,rtol,horizon,initial_informative_step,raw_argmax_changes,leader_replacements,correctness_flips,correct_to_wrong,wrong_to_correct,last_leader_replacement,last_correctness_flip,final_correct_state,final_winner_count,final_normalized_correct_margin
discovery,p17_s21_circ,17,21,circ,point,9,1,1e-08,59,0,5,1,1,0,1,7,7,1,1,1.0364507905046398
discovery,p17_s21_circ,17,21,circ,point,10,3,1e-08,59,0,3,1,1,0,1,7,7,1,1,1.036451077082046
discovery,p17_s21_circ,17,21,circ,point,11,5,1e-08,59,0,4,1,1,0,1,7,7,1,1,1.0364508149457081
discovery,p17_s21_circ,17,21,circ,point,12,7,1e-08,59,0,4,1,1,0,1,7,7,1,1,1.0364507088255817
discovery,p17_s21_circ,17,21,circ,point,13,9,1e-08,59,0,5,1,1,0,1,7,7,1,1,1.0364507375425824
discovery,p17_s21_circ,17,21,circ,point,14,11,1e-08,59,0,5,1,1,0,1,7,7,1,1,1.036450821120271
discovery,p17_s21_circ,17,21,circ,point,15,13,1e-08,59,0,5,1,1,0,1,7,7,1,1,1.0364509615072444
discovery,p17_s21_circ,17,21,circ,point,16,15,1e-08,59,0,4,1,1,0,1,7,7,1,1,1.0364506639602518
discovery,p17_s21_cross,17,21,cross,profile,-1,0,1e-08,59,0,1,1,1,0,1,8,8,1,1,0.9856321998005543
discovery,p17_s21_cross,17,21,cross,point,0,0,1e-08,59,0,2,2,1,0,1,8,8,1,1,0.8062413164937751
discovery,p17_s21_cross,17,21,cross,point,1,2,1e-08,59,0,2,2,1,0,1,8,8,1,1,1.1762318867159298
discovery,p17_s21_cross,17,21,cross,point,2,4,1e-08,59,0,2,2,1,0,1,8,8,1,1,1.003095226657485
discovery,p17_s21_cross,17,21,cross,point,3,6,1e-08,59,0,2,2,1,0,1,8,8,1,1,0.699658771986688
discovery,p17_s21_cross,17,21,cross,point,4,8,1e-08,59,0,3,3,1,0,1,8,8,1,1,0.9703207157611967
discovery,p17_s21_cross,17,21,cross,point,5,10,1e-08,59,0,1,1,1,0,1,9,9,1,1,0.6515612669646903
discovery,p17_s21_cross,17,21,cross,point,6,12,1e-08,59,0,4,4,1,0,1,8,8,1,1,0.7457483995325324
discovery,p17_s21_cross,17,21,cross,point,7,14,1e-08,59,0,2,2,1,0,1,8,8,1,1,0.8860269427554955
discovery,p17_s21_cross,17,21,cross,point,8,16,1e-08,59,0,1,1,1,0,1,8,8,1,1,0.9321965671533776
