p,view,step,runs,runs_with_displacement,sequences,displaced_sequences,eligible_sequences
17,profile,17,50,0,50,0,50
17,profile,18,50,0,50,0,50
17,profile,19,50,0,50,0,50
17,profile,20,50,0,50,0,50
17,profile,21,50,0,50,0,50
17,profile,22,50,0,50,0,50
17,profile,23,50,0,50,0,50
17,profile,24,50,0,50,0,50
17,profile,25,50,0,50,0,50
17,profile,26,50,0,50,0,50
17,profile,27,50,0,50,0,50
17,profile,28,50,0,50,0,50
17,profile,29,50,0,50,0,50
17,profile,30,50,0,50,0,50
17,profile,31,50,0,50,0,50
17,profile,32,50,0,50,0,50
17,profile,33,50,0,50,0,50
17,profile,34,50,0,50,0,50
17,profile,35,50,0,50,0,50
17,profile,36,50,0,50,0,50
17,profile,37,50,0,50,0,50
17,profile,38,50,0,50,0,50
17,profile,39,50,0,50,0,50
17,profile,40,50,0,50,0,50
17,profile,41,50,0,50,0,50
17,profile,42,50,0,50,0,50
17,profile,43,50,0,50,0,50
17,profile,44,50,0,50,0,50
17,profile,45,50,0,50,0,50
17,profile,46,50,0,50,0,50
17,profile,47,50,0,50,0,50
17,profile,48,50,0,50,0,50
17,profile,49,50,0,50,0,50
17,profile,50,50,0,50,0,50
17,profile,51,50,0,50,0,50
17,profile,52,50,0,50,0,50
17,profile,53,50,0,50,0,50
17,profile,54,50,0,50,0,50
17,profile,55,50,0,50,0,50
17,profile,56,50,0,50,0,50
17,profile,57,50,0,50,0,50
17,profile,58,50,0,50,0,50
17,profile,59,50,0,50,0,50
23,point,0,30,30,690,686,690
23,point,1,30,30,690,685,690
23,point,2,30,30,690,679,690
23,point,3,30,30,690,669,690
23,point,4,30,30,690,658,690
23,point,5,30,30,690,642,690
23,point,6,30,30,690,620,690
23,point,7,30,30,690,601,690
23,point,8,30,21,690,365,690
23,point,9,30,10,690,51,690
23,point,10,30,4,690,6,690
23,point,11,30,0,690,0,690
23,point,12,30,0,690,0,690
23,point,13,30,0,690,0,690
23,point,14,30,0,690,0,690
23,point,15,30,0,690,0,690
23,point,16,30,0,690,0,690
23,point,17,30,0,690,0,690
23,point,18,30,0,690,0,690
23,point,19,30,0,690,0,690
23,point,20,30,0,690,0,690
23,point,21,30,0,690,0,690
23,point,22,30,0,690,0,690
23,point,23,30,0,690,0,690
23,point,24,30,0,690,0,690
23,point,25,30,0,690,0,690
23,point,26,30,0,690,0,690
23,point,27,30,0,690,0,690
23,point,28,30,0,690,0,690
23,point,29,30,0,690,0,690
23,point,30,30,0,690,0,690
23,point,31,30,0,690,0,690
23,point,32,30,0,690,0,690
23,point,33,30,0,690,0,690
23,point,34,30,0,690,0,690
23,point,35,30,0,690,0,690
23,point,36,30,0,690,0,690
23,point,37,30,0,690,0,690
23,point,38,30,0,690,0,690
23,point,39,30,0,690,0,690
23,point,40,30,0,690,0,690
23,point,41,30,0,690,0,690
23,point,42,30,0,690,0,690
23,point,43,30,0,690,0,690
23,point,44,30,0,690,0,690
23,point,45,30,0,690,0,690
23,point,46,30,0,690,0,690
23,point,47,30,0,690,0,690
23,point,48,30,0,690,0,690
23,point,49,30,0,690,0,690
23,point,50,30,0,690,0,690
23,point,51,30,0,690,0,690
23,point,52,30,0,690,0,690
23,point,53,30,0,690,0,690
23,point,54,30,0,690,0,690
23,point,55,30,0,690,0,690
23,point,56,30,0,690,0,690
23,point,57,30,0,690,0,690
23,point,58,30,0,690,0,690
23,point,59,30,0,690,0,690
23,profile,0,30,30,30,30,30
23,profile,1,30,30,30,30,30
23,profile,2,30,30,30,30,30
23,profile,3,30,30,30,30,30
23,profile,4,30,28,30,28,30
23,profile,5,30,28,30,28,30
23,profile,6,30,28,30,28,30
23,profile,7,30,28,30,28,30
23,profile,8,30,17,30,17,30
23,profile,9,30,3,30,3,30
23,profile,10,30,0,30,0,30
23,profile,11,30,0,30,0,30
23,profile,12,30,0,30,0,30
23,profile,13,30,0,30,0,30
23,profile,14,30,0,30,0,30
23,profile,15,30,0,30,0,30
23,profile,16,30,0,30,0,30
23,profile,17,30,0,30,0,30
23,profile,18,30,0,30,0,30
23,profile,19,30,0,30,0,30
23,profile,20,30,0,30,0,30
23,profile,21,30,0,30,0,30
23,profile,22,30,0,30,0,30
23,profile,23,30,0,30,0,30
23,profile,24,30,0,30,0,30
23,profile,25,30,0,30,0,30
23,profile,26,30,0,30,0,30
23,profile,27,30,0,30,0,30
23,profile,28,30,0,30,0,30
23,profile,29,30,0,30,0,30
23,profile,30,30,0,30,0,30
23,profile,31,30,0,30,0,30
23,profile,32,30,0,30,0,30
23,profile,33,30,0,30,0,30
23,profile,34,30,0,30,0,30
23,profile,35,30,0,30,0,30
23,profile,36,30,0,30,0,30
23,profile,37,30,0,30,0,30
23,profile,38,30,0,30,0,30
23,profile,39,30,0,30,0,30
23,profile,40,30,0,30,0,30
23,profile,41,30,0,30,0,30
23,profile,42,30,0,30,0,30
23,profile,43,30,0,30,0,30
23,profile,44,30,0,30,0,30
23,profile,45,30,0,30,0,30
23,profile,46,30,0,30,0,30
23,profile,47,30,0,30,0,30
23,profile,48,30,0,30,0,30
23,profile,49,30,0,30,0,30
23,profile,50,30,0,30,0,30
23,profile,51,30,0,30,0,30
23,profile,52,30,0,30,0,30
23,profile,53,30,0,30,0,30
23,profile,54,30,0,30,0,30
23,profile,55,30,0,30,0,30
23,profile,56,30,0,30,0,30
23,profile,57,30,0,30,0,30
23,profile,58,30,0,30,0,30
23,profile,59,30,0,30,0,30
