phase,name,p,seed,variant,view,test_a,truth,rtol,event,previous_step,step,old_classes,new_classes,previous_margin,current_margin,previous_tolerance,current_tolerance,current_normalized_margin
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,22,23,14,1,6.111777750561487e-13,-4.350199644953534e-10,9.746813057626761e-16,9.74681305774445e-16,-0.14798648574745052
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,23,24,1,7,2.588207426157396e-12,-1.1206297140242683e-09,9.74681305774445e-16,9.746813171604913e-16,-0.3841281725417419
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,24,25,7,9,2.9734548157023255e-13,-2.749841881977133e-10,9.746813171604913e-16,9.746813036805823e-16,-0.11282791170640488
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,25,26,9,1,8.839179388431262e-13,-8.597996481451986e-10,9.746813036805823e-16,9.746813114840758e-16,-0.33787069149063376
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,27,28,1,5,2.549252475780861e-12,-1.4160654593364796e-09,9.746813094360178e-16,9.746813073393959e-16,-0.7637592193442362
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,28,29,5,9,2.994590686533627e-12,-1.2044295422120044e-09,9.746813073393959e-16,9.746813110190182e-16,-0.39273501882452994
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,31,32,9,7,9.931916400418572e-13,-2.0568742542526053e-09,9.74681309931252e-16,9.746813151247134e-16,-0.9033740601445489
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,32,33,7,11,2.0730639427313236e-13,-2.152994643678241e-09,9.746813151247134e-16,9.746813199269677e-16,-0.6956938028868739
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,33,34,11,5,2.5562330030481917e-12,-1.0177003684219699e-09,9.746813199269677e-16,9.746813112412904e-16,-0.39149104727065254
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,34,35,5,11,3.0563329644905934e-12,-5.767790411947971e-10,9.746813112412904e-16,9.746813062754532e-16,-0.1873283912789744
