example,phase,name,p,test_a,truth,step,raw_argmax,correct_score,best_wrong_score,margin,rms,tolerance,normalized_margin
1,confirmation,p17_s111_cross,17,13,9,24,9,0.06901553953618288,0.06901469887613128,8.406600515986629e-07,0.0004154380629918677,4.154380629918677e-12,0.002023550864705238
1,confirmation,p17_s111_cross,17,13,9,25,9,0.06901553807536905,0.0690146998362008,8.382391682437706e-07,0.00041543768008384845,4.1543768008384846e-12,0.002017725421715689
1,confirmation,p17_s111_cross,17,13,9,26,9,0.06901553920542754,0.06901469996684943,8.392385781041956e-07,0.0004154380740028883,4.154380740028883e-12,0.0020201291856036304
1,confirmation,p17_s111_cross,17,13,9,27,9,0.06901552881955828,0.06901469617580747,8.326437508088258e-07,0.00041543650823043743,4.154365082304374e-12,0.0020042623465027025
1,confirmation,p17_s111_cross,17,13,9,28,9,0.06901553276888213,0.06901469874520745,8.340236746784413e-07,0.00041543712377828043,4.1543712377828046e-12,0.0020075809958754703
1,confirmation,p17_s111_cross,17,13,9,29,9,0.06901553618281522,0.069014700337161,8.358456542179038e-07,0.0004154380503356571,4.154380503356571e-12,0.0020119622012056294
1,confirmation,p17_s111_cross,17,13,9,30,9,0.06901553066257335,0.0690146985420272,8.321205461486736e-07,0.0004154368194075064,4.154368194075064e-12,0.0020030014367417867
1,confirmation,p17_s111_cross,17,13,9,31,9,0.06901553383703472,0.06901469977485271,8.340621820146499e-07,0.0004154371076001688,4.154371076001688e-12,0.0020076737651884974
1,confirmation,p17_s111_cross,17,13,9,32,9,0.06901552756716771,0.06901469885153656,8.287156311459487e-07,0.00041543714238137194,4.1543714238137194e-12,0.0019948038983601192
1,confirmation,p17_s111_cross,17,13,9,33,9,0.06901552476834813,0.06901470134867507,8.23419673057213e-07,0.00041543602622579274,4.154360262257927e-12,0.001982061306858539
1,confirmation,p17_s111_cross,17,13,9,34,9,0.06901552166904366,0.06901469927395044,8.223950932195745e-07,0.000415435307915521,4.15435307915521e-12,0.001979598453838712
1,confirmation,p17_s111_cross,17,13,9,35,9,0.06901553633035332,0.069014699416772,8.369135813118822e-07,0.0004154380447531014,4.154380447531014e-12,0.0020145328331912103
