example,phase,name,p,test_a,truth,step,raw_argmax,correct_score,best_wrong_score,margin,rms,tolerance,normalized_margin
3,boundary,p17_s100_uncentered,17,9,1,42,1,0.06912887891707799,0.06912093425893855,7.944658139441563e-06,0.0010119187018191192,1.0119187018191192e-11,0.007851083417234513
3,boundary,p17_s100_uncentered,17,9,1,43,1,0.06912887956745074,0.06912093432849523,7.945238955517353e-06,0.0010119191663898052,1.0119191663898051e-11,0.007851653787587948
3,boundary,p17_s100_uncentered,17,9,1,44,1,0.06912889347723905,0.0691209312505265,7.962226712551757e-06,0.0010119203122123943,1.0119203122123944e-11,0.007868432540052171
3,boundary,p17_s100_uncentered,17,9,1,45,1,0.06912888304369344,0.06912093492335393,7.948120339509868e-06,0.0010119197956463637,1.0119197956463637e-11,0.007854496348134989
3,boundary,p17_s100_uncentered,17,9,1,46,1,0.06912890029652119,0.0691209348775318,7.965418989383521e-06,0.0010119203373975558,1.0119203373975557e-11,0.007871587016295065
3,boundary,p17_s100_uncentered,17,9,1,47,1,0.06912890187151292,0.06912093204516527,7.96982634765353e-06,0.0010119205110307628,1.0119205110307628e-11,0.007875941104835698
3,boundary,p17_s100_uncentered,17,9,1,48,1,0.06912889919132083,0.06912093305599754,7.966135323292378e-06,0.0010119203824574777,1.0119203824574777e-11,0.007872294561303715
3,boundary,p17_s100_uncentered,17,9,1,49,1,0.06912889779062051,0.06912093307596529,7.964714655223082e-06,0.001011920046696723,1.011920046696723e-11,0.007870893240254329
3,boundary,p17_s100_uncentered,17,9,1,50,1,0.06912888284410149,0.0691209313709739,7.951473127584818e-06,0.001011918681246209,1.011918681246209e-11,0.00785781829602388
3,boundary,p17_s100_uncentered,17,9,1,51,1,0.06912889077823844,0.06912093111144578,7.959666792664577e-06,0.0010119186001836772,1.0119186001836772e-11,0.007865916083783604
3,boundary,p17_s100_uncentered,17,9,1,52,1,0.06912889669778526,0.06912093294559654,7.963752188713813e-06,0.0010119200144899578,1.0119200144899579e-11,0.007869942361726896
3,boundary,p17_s100_uncentered,17,9,1,53,1,0.06912888776916441,0.069120935312374,7.952456790416562e-06,0.001011919414126663,1.0119194141266632e-11,0.007858784681268249
3,boundary,p17_s100_uncentered,17,9,1,54,1,0.0691288924674164,0.06912093326742648,7.959199989915344e-06,0.0010119192014897676,1.0119192014897676e-11,0.00786545010530253
3,boundary,p17_s100_uncentered,17,9,1,55,1,0.06912889990827015,0.06912093378668159,7.966121588556807e-06,0.001011920266162791,1.011920266162791e-11,0.007872281893082742
3,boundary,p17_s100_uncentered,17,9,1,56,1,0.06912889910673874,0.06912093227135806,7.966835380679438e-06,0.0010119201906600046,1.0119201906600046e-11,0.007872987864273396
3,boundary,p17_s100_uncentered,17,9,1,57,1,0.06912889995496786,0.06912093231948345,7.967635484412705e-06,0.0010119208521044297,1.0119208521044297e-11,0.00787377339625219
3,boundary,p17_s100_uncentered,17,9,1,58,1,0.06912890117914516,0.06912093125755786,7.96992158730303e-06,0.0010119207182230673,1.0119207182230673e-11,0.007876033609923722
3,boundary,p17_s100_uncentered,17,9,1,59,1,0.0691288783155747,0.0691209318063486,7.946509226100518e-06,0.0010119186054185845,1.0119186054185846e-11,0.007852913449311874
