p,seed,method,chosen_code,test_acc,test_correct,test_n,test_normalized_margin,test_mean_margin,test_mse,validation_acc,validation_normalized_margin,validation_test_gap,online_fits,charged_fits,online_updates,unique_candidates,online_seconds,charged_seconds,peak_cuda_allocated_bytes,final_kernel_condition,relative_solve_residual,near_top_ties_relative_1e8,source
17,2005,random_full,115,0.9090909090909091,10,11,0.48703846057641087,0.0003093361355718527,0.055317660440451784,1.0,0.5385593621569424,0.09090909090909094,120,120,118,2,1.1498705690000008,1.1498705690000008,16208384,35475.10245402753,3.519578354679898e-14,0,runs/p17-s2005-random_full/selected.npz
17,2005,unmodified,0,0.0,0,11,-0.6656588469757719,-0.0006890144323248897,0.05531462994358936,0.0,-0.6429336411027246,0.0,60,60,59,1,,,,35488.72423476808,3.410692919036002e-14,0,runs/p17-s2005-random_full/unmodified.npz
17,2005,bank,67,1.0,11,11,1.7025242276342405,0.001009966511434864,0.05525781977137381,1.0,1.5635065620932744,0.0,60,171.0,59,1,0.5734507949999994,1.6048621160499994,15569408,35483.30246882044,3.6824566327094655e-14,0,runs/p17-s2005-bank/selected.npz
17,2006,bank,74,1.0,11,11,1.9266385547878473,0.0007490339011073503,0.05532006874823943,1.0,1.6803270469115954,0.0,60,171.0,59,1,0.5739051890000013,1.6053165100500013,15569408,35407.85657946857,3.487031938235112e-14,0,runs/p17-s2006-bank/selected.npz
17,2006,greedy_probe,106,1.0,11,11,1.4266372092171276,0.0005392607683516889,0.05533553513418337,1.0,1.1524305579328233,0.0,170,170,159,11,1.5292209819999982,1.5292209819999982,21959168,35407.78515980112,3.637806284712367e-14,0,runs/p17-s2006-greedy_probe/selected.npz
17,2006,random_probe,52,1.0,11,11,1.2652012219896092,0.00045810910159151374,0.055351564998785435,1.0,1.2310407534527574,0.0,170,170,159,11,1.5731370809999987,1.5731370809999987,21959168,35415.46772950326,3.5928981393856684e-14,0,runs/p17-s2006-random_probe/selected.npz
17,2006,random_full,0,0.7272727272727273,8,11,0.17635938342579732,0.00012491683717711442,0.05532280589915521,0.6666666666666666,0.15824284453266282,-0.06060606060606066,120,120,118,2,1.133913088,1.133913088,16208384,35426.63921496528,3.506629932212863e-14,0,runs/p17-s2006-random_full/selected.npz
17,2006,unmodified,0,0.7272727272727273,8,11,0.17635938342579732,0.00012491683717711442,0.05532280589915521,0.6666666666666666,0.15824284453266282,-0.06060606060606066,60,60,59,1,,,,35426.63921496528,3.506629932212863e-14,0,runs/p17-s2006-random_full/unmodified.npz
17,2007,random_probe,0,1.0,11,11,1.2973280415396837,0.0013605047801853668,0.05510131756304975,1.0,1.3741049345309102,0.0,170,170,159,11,1.5463322799999872,1.5463322799999872,21959168,35541.28020363317,3.603725382102392e-14,0,runs/p17-s2007-random_probe/selected.npz
17,2007,random_full,0,1.0,11,11,1.2973280415396837,0.0013605047801853668,0.05510131756304975,1.0,1.3741049345309102,0.0,120,120,118,2,1.1074334479999948,1.1074334479999948,16208384,35541.28020363317,3.603725382102392e-14,0,runs/p17-s2007-random_full/selected.npz
17,2007,unmodified,0,1.0,11,11,1.2973280415396837,0.0013605047801853668,0.05510131756304975,1.0,1.3741049345309102,0.0,60,60,59,1,,,,35541.28020363317,3.603725382102392e-14,0,runs/p17-s2007-random_full/unmodified.npz
17,2007,bank,94,1.0,11,11,2.390708866327165,0.0027717134921422413,0.055015792259167764,1.0,2.347829051007815,0.0,60,171.0,59,1,0.5552306950000059,1.5866420160500059,15569408,35583.82048411212,3.758128372843362e-14,0,runs/p17-s2007-bank/selected.npz
17,2007,greedy_probe,56,1.0,11,11,2.2643216038669527,0.0022880272363974487,0.055062277402136366,1.0,2.2348063586471913,0.0,170,170,159,11,1.5482602040000017,1.5482602040000017,21959168,35553.47803289072,3.66905929695817e-14,0,runs/p17-s2007-greedy_probe/selected.npz
17,2008,random_full,0,1.0,11,11,1.4426154969416372,0.0006837067988406702,0.055311487408102294,1.0,1.434139838579904,0.0,120,120,118,2,1.0736111410000149,1.0736111410000149,16208384,35453.25000972413,3.277558797591184e-14,0,runs/p17-s2008-random_full/selected.npz
17,2008,unmodified,0,1.0,11,11,1.4426154969416372,0.0006837067988406702,0.055311487408102294,1.0,1.434139838579904,0.0,60,60,59,1,,,,35453.25000972413,3.277558797591184e-14,0,runs/p17-s2008-random_full/unmodified.npz
17,2008,bank,126,1.0,11,11,1.8262583025884092,0.0008776297564877737,0.05529801149506427,1.0,1.937398827477277,0.0,60,171.0,59,1,0.5395271979999734,1.5709385190499734,15569408,35445.60549257791,3.457455035048582e-14,0,runs/p17-s2008-bank/selected.npz
17,2008,greedy_probe,1,1.0,11,11,1.8297498274772024,0.0009003047819647878,0.055292330891326874,1.0,1.7060618958198284,0.0,170,170,159,11,1.5020471459999953,1.5020471459999953,21959168,35446.21820474492,3.765357174699354e-14,0,runs/p17-s2008-greedy_probe/selected.npz
17,2008,random_probe,59,1.0,11,11,1.7550771781311099,0.0008510812436836021,0.05529414467537069,1.0,1.6687482211744378,0.0,170,170,159,11,1.4723345069999993,1.4723345069999993,21959168,35454.21080479379,3.3782592263780366e-14,0,runs/p17-s2008-random_probe/selected.npz
17,2009,random_probe,112,1.0,11,11,1.3675173060677253,0.001104328026977447,0.05522445393060647,1.0,1.5035128032446303,0.0,170,170,159,11,1.4793904189999978,1.4793904189999978,21959168,35476.42470702302,3.5898667587531155e-14,0,runs/p17-s2009-random_probe/selected.npz
17,2009,bank,14,1.0,11,11,1.811600182712931,0.001225868831577867,0.055240722266547394,1.0,1.8421879862449047,0.0,60,171.0,59,1,0.560790738999998,1.592202060049998,15569408,35471.21432581031,3.61822883766114e-14,0,runs/p17-s2009-bank/selected.npz
17,2009,random_full,1,0.9090909090909091,10,11,0.30465414256710693,0.00021620517611930184,0.05533438834431783,1.0,0.2816628190504567,0.09090909090909094,120,120,118,2,1.0860590320000085,1.0860590320000085,16208384,35472.73082114204,3.6627764199673244e-14,0,runs/p17-s2009-random_full/selected.npz
17,2009,unmodified,0,0.36363636363636365,4,11,-0.1104400019120661,-6.187464450120583e-05,0.055344736590779986,0.5,-0.13094619962691403,0.13636363636363635,60,60,59,1,,,,35468.44798342596,3.4097938953826217e-14,0,runs/p17-s2009-random_full/unmodified.npz
17,2009,greedy_probe,52,1.0,11,11,1.6776887287394657,0.001185169551805823,0.05523695653152112,1.0,1.6838463199544413,0.0,170,170,159,11,1.4741018929999825,1.4741018929999825,21959168,35475.94539978073,3.768358271500994e-14,0,runs/p17-s2009-greedy_probe/selected.npz
17,2010,random_full,30,1.0,11,11,0.38892535713703624,0.0003559557870301153,0.05526994893083073,1.0,0.6301805410980305,0.0,120,120,118,2,1.1340876909999906,1.1340876909999906,16208384,35475.51668033902,3.4530063812423745e-14,0,runs/p17-s2010-random_full/selected.npz
17,2010,unmodified,0,1.0,11,11,0.4126403470738109,0.00039078905753781664,0.055245730095346314,0.8333333333333334,0.3865205429922493,-0.16666666666666663,60,60,59,1,,,,35471.70197549399,3.242548123719452e-14,0,runs/p17-s2010-random_full/unmodified.npz
17,2010,bank,106,1.0,11,11,1.6470344020026617,0.000646839393814336,0.05533065581651779,1.0,1.7319716226955324,0.0,60,171.0,59,1,0.5367244319999998,1.5681357530499997,15569408,35440.92212252004,3.870929869459884e-14,0,runs/p17-s2010-bank/selected.npz
17,2010,random_probe,120,1.0,11,11,0.9644420173684174,0.00046243942370081064,0.0553205960252287,1.0,1.0895635164548896,0.0,170,170,159,11,1.4783040119999953,1.4783040119999953,21959168,35430.95015092421,3.642199697190964e-14,0,runs/p17-s2010-random_probe/selected.npz
17,2010,greedy_probe,28,1.0,11,11,1.0076239084795569,0.0009285489441650883,0.05521796621657555,1.0,1.1021344018944552,0.0,170,170,159,11,1.469808783000019,1.469808783000019,21959168,35468.11173904442,3.474933993617814e-14,0,runs/p17-s2010-greedy_probe/selected.npz
17,2011,random_full,85,1.0,11,11,0.6882813980237307,0.0005017151408555,0.05526875291178846,1.0,0.7012194348735434,0.0,120,120,118,2,1.0757170930000086,1.0757170930000086,16208384,35550.52384071863,3.7373433779913705e-14,0,runs/p17-s2011-random_full/selected.npz
17,2011,unmodified,0,0.9090909090909091,10,11,0.48432588581670344,0.00039371303809926877,0.055273356200779465,1.0,0.6006494115945097,0.09090909090909094,60,60,59,1,,,,35532.01854472121,3.44734774644784e-14,0,runs/p17-s2011-random_full/unmodified.npz
17,2011,bank,3,1.0,11,11,1.914522705945904,0.0013576217887013638,0.05519252981676964,1.0,1.8998079341460101,0.0,60,171.0,59,1,0.5483845140000199,1.5797958350500199,15569408,35528.01675112002,3.2879838262603085e-14,0,runs/p17-s2011-bank/selected.npz
17,2011,random_probe,60,1.0,11,11,0.9312462639006504,0.0006861632089520171,0.055226023389092715,1.0,0.8258095549735393,0.0,170,170,159,11,1.4814961159999882,1.4814961159999882,21959168,35537.4466604859,3.289270429954082e-14,0,runs/p17-s2011-random_probe/selected.npz
17,2011,greedy_probe,3,1.0,11,11,1.914522705945904,0.0013576217887013638,0.05519252981676964,1.0,1.8998079341460101,0.0,170,170,159,11,1.4686191440000016,1.4686191440000016,21959168,35528.01675112002,3.2879838262603085e-14,0,runs/p17-s2011-greedy_probe/selected.npz
17,2012,random_probe,0,1.0,11,11,1.4691229938867691,0.0026460597755396877,0.054948479392313405,1.0,1.474199922028957,0.0,170,170,159,11,1.485010533999997,1.485010533999997,21959168,35702.57681451351,3.5803347716297036e-14,0,runs/p17-s2012-random_probe/selected.npz
