p,seed,family,base_acc,control_acc,control_gain,intervention_acc,net_effect,matched_angle_degrees,base_predicted_acc,control_predicted_acc,predicted_control_gain,base_z,control_mean_z
17,110,phase_best,1.0,0.9607843137254902,-0.039215686274509776,1.0,0.039215686274509776,112.71174366438875,0.9656862745098039,0.9124851942814282,-0.053201080228375774,0.8764968107752744,1.6021291471320473
17,110,phase_worst,1.0,0.9803921568627452,-0.019607843137254832,0.0,-0.9803921568627452,118.13490067765714,0.9656862745098039,0.9695925287334162,0.003906254223612238,0.8764968107752744,0.9860613688693863
17,111,phase_best,0.47058823529411764,0.9215686274509803,0.4509803921568627,1.0,0.07843137254901966,51.54479589316961,0.5427051542875805,0.9833146315725682,0.44060947728498767,0.15494923667130808,1.3799168669120185
17,111,phase_worst,0.47058823529411764,0.23529411764705885,-0.2352941176470588,0.0,-0.23529411764705885,27.440809471627304,0.5427051542875805,0.619281045751634,0.07657589146405352,0.15494923667130808,0.3522322859731388
17,112,phase_best,1.0,1.0,0.0,1.0,0.0,2.079902971064977,1.0,1.0,0.0,2.048406446747939,1.9680376059287001
17,112,phase_worst,1.0,1.0,0.0,0.3529411764705882,-0.6470588235294118,19.14025633058637,1.0,0.9800764855064755,-0.019923514493524475,2.048406446747939,1.2522703690451296
17,113,phase_best,1.0,1.0,0.0,1.0,0.0,55.728454532312796,1.0,0.9757640515419501,-0.024235948458049883,1.4399067475332865,1.244481815808686
17,113,phase_worst,1.0,0.6862745098039215,-0.31372549019607854,0.0,-0.6862745098039215,48.566017902121104,1.0,0.703212705466311,-0.296787294533689,1.4399067475332865,0.8549527139960184
17,114,phase_best,0.1764705882352941,0.823529411764706,0.6470588235294119,1.0,0.17647058823529405,105.30084327152865,0.17647058823529413,0.7799036173587175,0.6034330291234233,-0.14111530744626852,0.7805947672795991
17,114,phase_worst,0.1764705882352941,0.7254901960784315,0.5490196078431373,0.0,-0.7254901960784315,52.54918353339778,0.17647058823529413,0.6517961684155736,0.4753255801802795,-0.14111530744626852,0.5242291893981218
17,115,phase_best,0.6470588235294118,0.7058823529411765,0.05882352941176472,1.0,0.2941176470588235,43.26097097163582,0.5848597636524054,0.6964349326232647,0.11157516897085928,0.16600352854814066,0.4803766094752113
17,115,phase_worst,0.6470588235294118,0.7450980392156863,0.0980392156862745,0.058823529411764705,-0.6862745098039216,49.4250753544323,0.5848597636524054,0.6270929892845343,0.042233225632128835,0.16600352854814066,0.23343550919341008
17,116,phase_best,1.0,0.9411764705882352,-0.05882352941176483,1.0,0.05882352941176483,49.93603293998013,1.0,0.9561596232695688,-0.043840376730431174,2.141099188640141,0.9335125091538735
17,116,phase_worst,1.0,0.8431372549019608,-0.1568627450980392,0.1764705882352941,-0.6666666666666667,93.95352578657771,1.0,0.911207554367086,-0.088792445632914,2.141099188640141,0.9198347155584151
17,117,phase_best,1.0,0.7058823529411765,-0.2941176470588235,1.0,0.2941176470588235,113.57015272891348,0.9176470588235294,0.8211801967615272,-0.09646686206200217,0.6368500882255229,1.1561881131159784
17,117,phase_worst,1.0,1.0,0.0,0.0,-1.0,119.11404762399418,0.9176470588235294,0.977124183006536,0.05947712418300666,0.6368500882255229,1.2916042895236182
17,118,phase_best,1.0,0.9803921568627452,-0.019607843137254832,1.0,0.019607843137254832,19.45994903551347,0.9670045814422912,0.9390394128178294,-0.027965168624461745,1.3462915566501763,0.9161149797980972
17,118,phase_worst,1.0,1.0,0.0,0.0,-1.0,138.9116167511194,0.9670045814422912,0.988562091503268,0.021557510060976837,1.3462915566501763,1.568941492123901
17,119,phase_best,1.0,0.7058823529411765,-0.2941176470588235,1.0,0.2941176470588235,117.59712354465567,1.0,0.9284295965069065,-0.07157040349309352,1.8584603144300005,0.655544175918964
17,119,phase_worst,1.0,0.8039215686274509,-0.1960784313725491,0.0,-0.8039215686274509,87.52811478240147,1.0,0.935470602439724,-0.06452939756027598,1.8584603144300005,1.1211952376896754
23,100,phase_best,1.0,1.0,0.0,1.0,0.0,64.77779957331848,1.0,0.9019930674023623,-0.09800693259763771,1.5261462883960164,0.792629116357615
23,100,phase_worst,1.0,1.0,0.0,0.0,-1.0,94.97851554542541,1.0,0.9656862745098039,-0.03431372549019607,1.5261462883960164,1.0769733167887403
23,101,phase_best,1.0,1.0,0.0,1.0,0.0,80.31681723489402,1.0,0.9319219411551615,-0.06807805884483853,1.5765043791365962,0.8949605030840475
23,101,phase_worst,1.0,1.0,0.0,0.0,-1.0,112.14372073573286,1.0,0.9336601307189542,-0.06633986928104585,1.5765043791365962,0.8095257308032456
23,102,phase_best,0.34782608695652173,0.8550724637681159,0.5072463768115941,1.0,0.14492753623188415,94.39620697966205,0.17647058823529413,0.7704622104065971,0.593991622171303,-0.030245133068455436,1.4832252151303271
23,102,phase_worst,0.34782608695652173,0.7246376811594203,0.37681159420289856,0.0,-0.7246376811594203,91.9127652886255,0.17647058823529413,0.676470588235294,0.4999999999999999,-0.030245133068455436,0.7567212380526014
23,103,phase_best,1.0,0.9565217391304347,-0.0434782608695653,1.0,0.0434782608695653,71.13328206606938,0.9656862745098039,0.9395424836601308,-0.02614379084967311,0.8902628650424336,1.049853691567723
23,103,phase_worst,1.0,1.0,0.0,0.0,-1.0,94.087116992662,0.9656862745098039,0.9580139477591326,-0.00767232675067131,0.8902628650424336,1.3160692504652054
23,104,phase_best,0.9565217391304348,0.9420289855072465,-0.01449275362318836,1.0,0.05797101449275355,63.851681484460414,0.9199519252449047,0.9292171946552443,0.009265269410339672,0.6566907897763448,1.0942287780708038
23,104,phase_worst,0.9565217391304348,1.0,0.04347826086956519,0.0,-1.0,130.44593010067655,0.9199519252449047,0.9635841375113641,0.043632212266459414,0.6566907897763448,1.3672440291560954
23,105,phase_best,0.0,0.9710144927536232,0.9710144927536232,1.0,0.02898550724637683,134.78412067989444,0.008747456573107437,0.9281045751633988,0.9193571185902913,-0.559808737505784,0.7755127961571762
23,105,phase_worst,0.0,0.6376811594202899,0.6376811594202899,0.0,-0.6376811594202899,16.9563550007334,0.008747456573107437,0.5956445028548024,0.5868970462816949,-0.559808737505784,0.22208432041082374
23,106,phase_best,1.0,0.8695652173913043,-0.13043478260869568,1.0,0.13043478260869568,105.16578519764101,0.9656862745098039,0.9240791818279815,-0.04160709268182239,1.3033803250700495,0.7090907027057519
23,106,phase_worst,1.0,0.8550724637681159,-0.14492753623188415,0.0,-0.8550724637681159,115.23370572304052,0.9656862745098039,0.7591956986305254,-0.20649057587927855,1.3033803250700495,0.5902505865157277
23,107,phase_best,1.0,0.9855072463768115,-0.01449275362318847,1.0,0.01449275362318847,104.42513117856309,0.9656862745098039,0.9509803921568628,-0.014705882352941124,0.7586514858606215,1.252282129800118
23,107,phase_worst,1.0,1.0,0.0,0.0,-1.0,88.32588934012564,0.9656862745098039,0.857847646929197,-0.10783862758060692,0.7586514858606215,0.7990608506913807
23,108,phase_best,1.0,1.0,0.0,1.0,0.0,91.65806282222532,0.8529411764705883,0.9281045751633986,0.0751633986928103,0.30219360587724886,0.9721171379334791
23,108,phase_worst,1.0,0.9710144927536232,-0.02898550724637683,0.0,-0.9710144927536232,80.53048098134774,0.8529411764705883,0.8414780092791806,-0.01146316719140772,0.30219360587724886,0.7948310028188628
23,109,phase_best,1.0,1.0,0.0,1.0,0.0,145.2775384076016,1.0,0.9929897586688518,-0.007010241331148248,1.5469733781212378,1.8612043712546438
23,109,phase_worst,1.0,1.0,0.0,0.5652173913043478,-0.4347826086956522,95.13093654926665,1.0,0.977124183006536,-0.02287581699346397,1.5469733781212378,1.2376887354242014
