p,seed,worst_acc,uniform_chance,base_margin,best_margin,worst_margin,best_z,worst_z,worst_rms,best_rms,worst_to_best_rms,worst_vs_negative_best_cosine,worst_correct_centered_score,worst_top_offset
17,110,0.0,0.058823529411764705,0.0017209640510702923,0.0017343909792331969,-0.0007334782968018566,2.095077283906201,-0.8646817444950451,0.0008482638860731258,0.0008278410503308419,1.0246699964131063,-0.7056831004499462,0.0011568987509328194,3
17,111,0.0,0.058823529411764705,5.04632659798776e-05,0.0010470501006632077,-0.000250379000840642,2.4726657644856163,-0.6928988329728234,0.0003613500108903521,0.0004234499121158105,0.8533477054814584,-0.5152783963007083,0.00036722532384915463,16
17,112,0.3529411764705882,0.058823529411764705,0.0015626667971219005,0.0015577134435293682,-0.00011007568761696451,2.0636131053970157,-0.15219562790974667,0.0007232513123323119,0.0007548476211240585,0.9581421363629709,-0.7929906481226252,0.0012970904868346012,3
17,113,0.0,0.058823529411764705,0.001577157323389422,0.002948672148951101,-0.00036284508232402313,2.457050503563903,-0.5841618024689753,0.0006211379805910773,0.0012000860969988653,0.5175778489096725,-0.10995156145063839,0.0004872397924103461,5
17,114,0.0,0.058823529411764705,-0.00017210477648164912,0.0021073165882121853,-0.0005978049927486268,2.689329441560282,-1.0201435402525978,0.0005860008608206294,0.0007835843967816649,0.7478465156114008,-0.24064800130573538,0.0006015588591885973,7
17,115,0.058823529411764705,0.058823529411764705,0.000250292788096268,0.002985808599249143,-0.00028924161170343354,2.554947525191326,-0.39861140371622644,0.0007256230228409275,0.001168637934755843,0.6209134593876827,-0.22811785155958275,0.0008780601550796296,9
17,116,0.1764705882352941,0.058823529411764705,0.0008282697201371092,0.0013195140126429639,-8.940371177874884e-05,2.4841706625996225,-0.24567173143243362,0.00036391534043198325,0.0005311688252779402,0.6851217976536186,-0.4228576150108888,0.00045451680625917257,12
17,117,0.0,0.058823529411764705,0.00041791260533793895,0.0008505339329043793,-0.00015634157062008325,2.0193002266488778,-0.6401121704622157,0.00024424089688404344,0.0004212023163667345,0.5798659869462508,-0.030642642709471042,0.0001896001075340492,15
17,118,0.0,0.058823529411764705,0.0017132715835423695,0.001737125491712177,-0.0005666542715614953,1.9426124537030771,-0.7029815827292555,0.0008060727129742388,0.0008942213298390044,0.90142416209124,-0.7058516109103343,0.001015269847040673,9
17,119,0.0,0.058823529411764705,0.0008931507451923615,0.001108692079981169,-0.000364572898362045,3.1212745556152743,-0.9606744083223909,0.00037949683597660554,0.0003552049203703006,1.068388454700967,-0.36378451096572834,0.0003810157393830671,7
23,100,0.0,0.043478260869565216,0.00259095391335748,0.0048633066794753835,-0.0004499174254503635,2.7022175923996103,-0.36481142849715603,0.0012332876393258906,0.001799746509368512,0.685256302988259,-0.6209208075591981,0.002045952742299989,2
23,101,0.0,0.043478260869565216,0.0017048149000579438,0.003945459927713807,-0.00041254529754053415,3.4851686299642077,-0.6894449557256925,0.0005983730740422914,0.0011320714566842426,0.5285647566761236,-0.08560976611803685,0.00041647992064034606,22
23,102,0.0,0.043478260869565216,4.701120016072785e-05,0.002509121484386638,-0.00063387835854678,2.1644063340610975,-1.017180132097267,0.0006231721782058616,0.0011592654507154153,0.5375577938782568,-0.2892308629556521,0.0008126715877922949,18
23,103,0.0,0.043478260869565216,0.0005512167669600027,0.002176828881021338,-0.0006411796010274834,2.5266074923090343,-1.1213478381328326,0.0005717936747397827,0.0008615619512122802,0.6636709918946949,-0.34565948479151454,0.0004917299398737654,3
23,104,0.0,0.043478260869565216,0.00031723707267339307,0.00216828692891035,-0.0002482501332121828,3.339902820036884,-0.7485696285831844,0.0003316326547766106,0.0006492065924500176,0.5108276142499939,-0.3937708430679714,0.00023236210433084242,12
23,105,0.0,0.043478260869565216,-0.0005867883358715228,0.004050149515837306,-0.0009018141803596239,2.779127457228793,-0.7957596261496298,0.0011332746104789843,0.0014573457238538866,0.777629214488714,-0.5970410889682662,0.0012452900383566126,11
23,106,0.0,0.043478260869565216,0.0019942884183057896,0.003659430261329949,-0.000628239164031312,2.625295626551967,-0.6812007296320095,0.0009222526293691614,0.0013939116891518242,0.6616291667159626,-0.39690574955223973,0.0007053602967756409,17
23,107,0.0,0.043478260869565216,0.0013660794583864391,0.0029308857906666236,-0.000411842024165221,3.768578389466805,-0.9721609786806149,0.00042363562537159176,0.000777716551912112,0.5447172550590975,-0.37459785669523865,0.00043944364497339877,21
23,108,0.0,0.043478260869565216,0.0008496350916298301,0.0065625373549096574,-0.0007388164091641641,3.739869599870247,-0.8849830860452326,0.0008348367565596641,0.0017547503140583677,0.47575814625663904,-0.1032921230151364,0.000400498331013667,2
23,109,0.5652173913043478,0.043478260869565216,0.0035125362981295594,0.004571993719021519,0.00013868945969400248,2.643158974998801,0.14404038153565954,0.0009628512380722044,0.001729746020677244,0.5566431294319273,-0.3880159629854997,0.0011744358748004002,0
