p,seed,actual_acc,predicted_acc,accuracy_error_pp,error_test_quanta,observed_profile_margin,predicted_profile_margin,observed_normalized_profile_margin,predicted_normalized_profile_margin,mean_pointwise_margin,profile_rms,profile_margin_error
17,120,1.0,0.9176470588235294,8.235294117647063,1.4000000000000008,0.001175339753756291,0.0012002343754181632,0.6354867900406086,0.6497323912266035,0.001023351365570115,0.0018495109138007178,2.4894621661872285e-05
17,121,1.0,0.9656862745098039,3.4313725490196068,0.5833333333333331,0.0008517471959505751,0.0008577821363319861,0.8257148063217332,0.8287567260337634,0.000668445366626678,0.0010315270955898283,6.0349403814110095e-06
17,122,1.0,0.9656862745098039,3.4313725490196068,0.5833333333333331,0.0027114950146857886,0.0027658317608624237,1.234718308824924,1.2360588799117893,0.0025456966279186442,0.002196043417600494,5.433674617663512e-05
17,123,0.9411764705882353,0.9176470588235294,2.352941176470591,0.40000000000000047,0.0003356655139133691,0.00034928934545733,0.6016255046153197,0.6297665947798143,0.0002273742039592718,0.0005579309908545086,1.3623831543960901e-05
17,124,1.0,0.9656862745098039,3.4313725490196068,0.5833333333333331,0.0009214106238516762,0.0009332374718900642,0.9882518216313655,0.9975556319324956,0.0006701415987992683,0.0009323642048346031,1.182684803838804e-05
17,125,1.0,1.0,0.0,0.0,0.001170004015767362,0.0011616719651356667,1.9484597701848554,1.9619729742064955,0.001086118006556112,0.0006004763524865389,-8.332050631695235e-06
17,126,1.0,0.8877961367812449,11.220386321875509,1.9074656747188365,0.0003671957449176977,0.0003731964138828654,0.487358675995897,0.49743385156480485,0.0002946457426937589,0.0007534404597750283,6.000668965167695e-06
17,127,0.9411764705882353,0.9656862745098039,2.450980392156865,0.4166666666666671,0.0004956399603802397,0.000492135212636679,0.8416356923636743,0.8304292839549684,0.0004071411948359184,0.0005889008330769218,-3.5047477435607398e-06
17,128,0.0,0.024447545729229192,2.4447545729229194,0.41560827739689626,-0.000733410655184813,-0.0007409739206082429,-0.49514499005720364,-0.49829439430312206,-0.0008536148487749197,0.0014812038290038696,-7.563265423429907e-06
17,129,1.0,1.0,0.0,0.0,0.0017461675319722092,0.001814977280210984,1.708366142036774,1.7505547979957208,0.0015344814256467451,0.0010221272179337195,6.880974823877473e-05
17,130,0.47058823529411764,0.3381789497335407,13.240928556057696,2.2509578545298083,4.212595165276056e-05,3.7518601280637316e-05,0.08459680734284826,0.07595603125698847,-6.005096417189369e-05,0.0004979614831329903,-4.607350372123247e-06
17,131,1.0,1.0,0.0,0.0,0.0006644507887375445,0.000676915424725707,2.8350983905142604,2.8781882103932586,0.0005460233340627163,0.00023436604209599207,1.2464635988162533e-05
17,132,0.9411764705882353,0.8529411764705883,8.823529411764696,1.4999999999999984,0.0002888763864060673,0.0002929487290354506,0.2834552689611578,0.2909897335606059,0.0001993174583263731,0.0010191251249792514,4.072342629383345e-06
17,133,1.0,1.0,0.0,0.0,0.0029901845295493,0.002981351573179648,1.573433705282045,1.573282282534825,0.0028550490826959947,0.0019004197758769228,-8.832956369652159e-06
17,134,1.0,0.9656862745098039,3.4313725490196068,0.5833333333333331,0.00039069295731158915,0.0004312238140991875,1.1699015993557094,1.274042433999272,0.0002964568545370111,0.0003339536910854318,4.053085678759833e-05
17,135,1.0,0.9656862745098039,3.4313725490196068,0.5833333333333331,0.001030425687839731,0.001035342653283235,0.9244261424939284,0.9379988044664562,0.0008065640279040237,0.0011146652398425641,4.916965443503996e-06
17,136,1.0,1.0,0.0,0.0,0.0033028537579086886,0.0033511941382744666,1.9891569458524374,2.006689591773609,0.003156971817218307,0.00166042893940341,4.834038036577795e-05
17,137,1.0,0.9656862745098039,3.4313725490196068,0.5833333333333331,0.0014377146769349175,0.0014940454712064168,1.182922191711752,1.2290552312853245,0.001248407393854233,0.0012153924298727264,5.633079427149932e-05
17,138,0.6470588235294118,0.8529411764705883,20.588235294117652,3.500000000000001,0.00023795331967950417,0.00024041994304470262,0.3884348107477831,0.3961082196309785,0.00012810897150845063,0.0006125952491781461,2.466623365198449e-06
17,139,1.0,1.0,0.0,0.0,0.0024497162539538347,0.002432183934349419,1.9136193082298951,1.91638200956414,0.002298538793242303,0.0012801481691882756,-1.753231960441564e-05
17,140,0.7058823529411765,0.699953245329146,0.5929107612030471,0.100794829404518,0.00025558869330938316,0.0002423023882180803,0.20458218314857632,0.19618473432245342,0.00013746528083404477,0.001249320392302998,-1.3286305091302856e-05
17,141,0.9411764705882353,0.9176470588235294,2.352941176470591,0.40000000000000047,0.0006599860585576045,0.0006568042733814605,0.5939921576809318,0.594085453139851,0.0004931977956600786,0.0011111023100613424,-3.1817851761440415e-06
17,142,1.0,0.8853502624388927,11.46497375611073,1.9490455385388241,0.0010834144544982355,0.001061620063769531,0.5069085565326983,0.4946561014938625,0.0008515841032843435,0.0021372976260430306,-2.1794390728704493e-05
17,143,0.0,0.0392156862745098,3.9215686274509802,0.6666666666666666,-0.0002634049172476616,-0.0002515281476340044,-0.2288915751340876,-0.21897396420072748,-0.0005187605203915824,0.0011507846765148766,1.1876769613657166e-05
17,144,1.0,0.9656862745098039,3.4313725490196068,0.5833333333333331,0.0007756837485136114,0.0007752729108857811,0.7928686438247181,0.8001351820577828,0.0006897143510088688,0.0009783256716671144,-4.1083762783032836e-07
17,145,0.0,0.0,0.0,0.0,-0.0009230710762984928,-0.0009412298241260726,-1.0346043586132214,-1.0446925371937532,-0.000985951062315556,0.0008921971656254886,-1.8158747827579807e-05
17,146,1.0,0.9176470588235294,8.235294117647063,1.4000000000000008,0.0011845472749400787,0.0012250537312919097,0.5774346741151786,0.5872045023651205,0.0010487251113834902,0.0020513961631334282,4.050645635183094e-05
17,147,0.29411764705882354,0.17647058823529413,11.76470588235294,2.0,-9.100353622060187e-07,5.452293166211008e-07,-0.0043564712614478,0.0026064226299810376,-8.744567992155913e-05,0.0002088927729787396,1.4552646788271195e-06
17,148,1.0,1.0,0.0,0.0,0.000858567024132742,0.0008649673901203808,1.5033318366295836,1.5156898825253406,0.0007966687510014983,0.000571109453823328,6.400365987638788e-06
