p,seed,setting,acc,predicted_acc,error,denominator,centering,epsilon
17,103,default,0.11764705882352941,0.17647058823529413,0.05882352941176472,12.5,True,0.01
17,103,paper,0.0,0.17647058823529413,0.17647058823529413,2.5,True,0.01
17,103,uncentered,0.0,0.17647058823529413,0.17647058823529413,12.5,False,0.01
17,103,paper_uncentered,0.0,0.17647058823529413,0.17647058823529413,2.5,False,0.01
17,103,bw15,0.0,0.17647058823529413,0.17647058823529413,4.5,True,0.01
17,103,bw20,0.058823529411764705,0.17647058823529413,0.11764705882352942,8.0,True,0.01
17,103,bw30,0.1764705882352941,0.17647058823529413,2.7755575615628914e-17,18.0,True,0.01
17,103,eps001,0.11764705882352941,0.17647058823529413,0.05882352941176472,12.5,True,0.001
17,103,eps03,0.1764705882352941,0.17647058823529413,2.7755575615628914e-17,12.5,True,0.03
17,104,default,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.01
17,104,paper,0.9411764705882353,0.9656862745098039,0.02450980392156865,2.5,True,0.01
17,104,uncentered,0.8823529411764706,0.9656862745098039,0.08333333333333337,12.5,False,0.01
17,104,paper_uncentered,0.1764705882352941,0.9656862745098039,0.7892156862745099,2.5,False,0.01
17,104,bw15,1.0,0.9656862745098039,0.03431372549019607,4.5,True,0.01
17,104,bw20,1.0,0.9656862745098039,0.03431372549019607,8.0,True,0.01
17,104,bw30,1.0,0.9656862745098039,0.03431372549019607,18.0,True,0.01
17,104,eps001,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.001
17,104,eps03,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.03
17,105,default,0.058823529411764705,0.005787331019337585,0.05303619839242712,12.5,True,0.01
17,105,paper,0.058823529411764705,0.005787331019337585,0.05303619839242712,2.5,True,0.01
17,105,uncentered,0.0,0.005787331019337585,0.005787331019337585,12.5,False,0.01
17,105,paper_uncentered,0.0,0.005787331019337585,0.005787331019337585,2.5,False,0.01
17,105,bw15,0.058823529411764705,0.005787331019337585,0.05303619839242712,4.5,True,0.01
17,105,bw20,0.058823529411764705,0.005787331019337585,0.05303619839242712,8.0,True,0.01
17,105,bw30,0.058823529411764705,0.005787331019337585,0.05303619839242712,18.0,True,0.01
17,105,eps001,0.058823529411764705,0.005787331019337585,0.05303619839242712,12.5,True,0.001
17,105,eps03,0.058823529411764705,0.005787331019337585,0.05303619839242712,12.5,True,0.03
