p,seed,signal,predicted_acc,constant_acc,circulant_fraction,frequency_concentration,spectral_fraction,effective_rank,centered_energy_fraction,actual_acc,absolute_error,constant_error,profile_cosine,profile_relative_l2,raw_step5_acc,raw_step10_acc
17,140,0.1961847343224538,0.699953245329146,0.7102941176470589,0.08959722523869135,0.3243132403276194,0.17406534769727613,9.039940997526868,0.8893350734851042,0.7058823529411765,0.005929107612030471,0.004411764705882337,0.9999476665280775,0.01528183737324621,0.0,0.7058823529411765
17,141,0.5940854531398512,0.9176470588235294,0.7102941176470589,0.08646233926183099,0.3348339104301024,0.18727528179615255,8.183451395638949,0.7805133610017615,0.9411764705882353,0.02352941176470591,0.23088235294117643,0.9997863131489596,0.021213669697046526,0.0,0.9411764705882353
17,142,0.4946561014938625,0.8853502624388927,0.7102941176470589,0.1269410744716681,0.5774428971843,0.18971950284408245,8.136493188862934,0.9253762688071718,1.0,0.1146497375611073,0.28970588235294115,0.9999405965460033,0.011686075445667183,0.0,1.0
17,143,-0.2189739642007274,0.0392156862745098,0.7102941176470589,0.0657647651532707,0.580115938050924,0.1911296653353229,7.902858838963668,0.8457435686176924,0.0,0.0392156862745098,0.7102941176470589,0.9999559652900059,0.009554787707078134,0.0,0.0
17,144,0.8001351820577841,0.9656862745098039,0.7102941176470589,0.04382898915752534,0.5599428681730799,0.16868246742127588,8.635660279016584,0.9392694737839956,1.0,0.03431372549019607,0.28970588235294115,0.9999956559512927,0.010044350493332738,0.0,1.0
17,145,-1.044692537193753,0.0,0.7102941176470589,0.09570627431692857,0.5453262842003904,0.1887741470725941,8.229150842919882,0.9099353878159366,0.0,0.0,0.7102941176470589,0.9998761487438304,0.018619276674507856,0.0,0.0
17,146,0.5872045023651203,0.9176470588235294,0.7102941176470589,0.10484257926933477,0.35033221942491105,0.17855840341550303,8.204447856573513,0.8823942535199868,1.0,0.08235294117647063,0.28970588235294115,0.9999609770527874,0.019183202005877642,0.0,1.0
17,147,0.0026064226299807617,0.17647058823529413,0.7102941176470589,0.020256654704553373,0.549776735404419,0.188185043547399,8.191414762860475,0.8810806625747727,0.29411764705882354,0.11764705882352941,0.4161764705882353,0.9998343616003745,0.01826813905327878,0.0,0.29411764705882354
17,148,1.51568988252534,1.0,0.7102941176470589,0.0250968198373202,0.4553579254463916,0.16218659488311576,9.677134203177813,0.8610343854337208,1.0,0.0,0.28970588235294115,0.9999252306981146,0.012247524310517595,0.0,1.0
17,149,0.6763742084620132,0.9294623405937834,0.7102941176470589,0.03853734408654246,0.5717465856072705,0.14897568466094413,9.196165621221079,0.8925610399680336,1.0,0.07053765940621659,0.28970588235294115,0.9999580301947205,0.013143713089902987,0.0,1.0
23,100,1.5261462883960164,1.0,0.7102941176470589,0.05240278615885068,0.26566734911690815,0.14952845154832703,10.974645058882603,0.897943360389654,1.0,0.0,0.28970588235294115,0.9992735973801893,0.04130588340046337,0.0,1.0
23,101,1.5765043791365951,1.0,0.7102941176470589,0.0464020425682002,0.25496046924669014,0.15083995677187703,10.686105222111934,0.9492927428795703,1.0,0.0,0.28970588235294115,0.9981116534211489,0.07096514528507676,0.0,1.0
23,102,-0.030245133068455637,0.17647058823529413,0.7102941176470589,0.04082287705165535,0.3217028722087673,0.13734696328880142,12.074089051478975,0.9168326654103807,0.34782608695652173,0.1713554987212276,0.3624680306905371,0.9996992702237543,0.03876419808092661,0.0,0.30434782608695654
23,103,0.8902628650424332,0.9656862745098039,0.7102941176470589,0.03025140818015895,0.3461175697255501,0.1522807279200666,10.249529642117606,0.8912388082531613,1.0,0.03431372549019607,0.28970588235294115,0.9990436662873011,0.06948996314781035,0.0,1.0
23,104,0.6566907897763453,0.9199519252449049,0.7102941176470589,0.01985884970126897,0.2270015034963069,0.15410562854003682,10.435242071345717,0.9192744104919808,0.9565217391304348,0.036569813885529934,0.24622762148337596,0.9995161117177432,0.05726724382927385,0.0,0.9565217391304348
23,105,-0.5598087375057844,0.008747456573107323,0.7102941176470589,0.04360375176771844,0.45519935051697824,0.15178395538398945,11.087882477333494,0.9290421117548315,0.0,0.008747456573107323,0.7102941176470589,0.9995949900427565,0.03646955270591079,0.0,0.0
